epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,639.244,1.57891,2.05484,1.4277,0.35602,0.20824,0.16923,0.09009,1.59531,2.07583,1.57435,0.00643101,0.00643101,0.00643101
43,654.056,1.57996,2.05498,1.42689,0.60369,0.21365,0.19573,0.10829,1.56391,1.95162,1.56212,0.00628101,0.00628101,0.00628101
44,668.868,1.59245,2.00562,1.41053,0.7221,0.18087,0.19592,0.10934,1.56261,2.01177,1.53952,0.00612981,0.00612981,0.00612981
45,683.62,1.58823,2.01208,1.41546,0.49747,0.22765,0.18606,0.09802,1.56656,2.00783,1.54575,0.00597754,0.00597754,0.00597754
46,698.296,1.55987,1.94529,1.4012,0.47036,0.19147,0.16628,0.08868,1.56074,2.10467,1.52777,0.00582435,0.00582435,0.00582435
47,712.954,1.5433,1.93811,1.39744,0.51162,0.22898,0.18133,0.10028,1.5781,1.96852,1.56927,0.0056704,0.0056704,0.0056704
48,727.607,1.58336,1.95342,1.41051,0.4036,0.19764,0.18181,0.1016,1.5903,2.00227,1.55305,0.00551584,0.00551584,0.00551584
49,742.314,1.52316,1.90375,1.37984,0.627,0.22343,0.18842,0.10249,1.5363,1.96561,1.5261,0.00536081,0.00536081,0.00536081
50,757.009,1.51901,1.85357,1.37662,0.50898,0.24219,0.19896,0.10791,1.581,1.96068,1.53273,0.00520548,0.00520548,0.00520548
51,771.733,1.50613,1.8456,1.36408,0.38429,0.22524,0.191,0.10751,1.60267,1.95412,1.53658,0.00505,0.00505,0.00505
52,786.451,1.52072,1.85266,1.37808,0.42563,0.23025,0.19701,0.11271,1.56566,1.83681,1.54424,0.00489452,0.00489452,0.00489452
53,801.33,1.50599,1.80441,1.36335,0.63807,0.21496,0.20207,0.11474,1.5753,1.9373,1.54378,0.00473919,0.00473919,0.00473919
54,816.25,1.5065,1.7647,1.35653,0.38288,0.24674,0.19884,0.11077,1.56941,1.92519,1.53576,0.00458416,0.00458416,0.00458416
55,830.954,1.51182,1.8147,1.36412,0.30628,0.24955,0.19624,0.11417,1.54928,1.8581,1.52402,0.0044296,0.0044296,0.0044296
56,845.795,1.50506,1.76836,1.34584,0.30866,0.22538,0.189,0.10748,1.58098,1.83973,1.55667,0.00427565,0.00427565,0.00427565
57,860.448,1.52283,1.78578,1.36766,0.32212,0.23369,0.20143,0.11405,1.57302,1.80645,1.55351,0.00412246,0.00412246,0.00412246
58,875.269,1.50372,1.74829,1.35077,0.42295,0.26911,0.22483,0.12888,1.53868,1.81571,1.51522,0.00397019,0.00397019,0.00397019
59,890.318,1.47329,1.65924,1.32838,0.39746,0.22873,0.21833,0.12241,1.52706,1.79307,1.51853,0.00381899,0.00381899,0.00381899
60,905.292,1.47433,1.71762,1.33977,0.3196,0.24759,0.20887,0.11574,1.54235,1.82245,1.52006,0.00366899,0.00366899,0.00366899
61,920.304,1.44173,1.70224,1.32854,0.42893,0.26266,0.22662,0.12612,1.54075,1.74329,1.53365,0.00352037,0.00352037,0.00352037
62,935.456,1.44788,1.65755,1.32523,0.45394,0.25591,0.21341,0.12459,1.55482,1.79034,1.56921,0.00337325,0.00337325,0.00337325
63,950.515,1.44415,1.61847,1.31206,0.36511,0.26865,0.23182,0.13394,1.58604,1.71803,1.52809,0.00322778,0.00322778,0.00322778
64,965.591,1.45127,1.62662,1.31737,0.34055,0.25871,0.22816,0.13437,1.54626,1.72624,1.51453,0.00308412,0.00308412,0.00308412
65,980.646,1.4409,1.6086,1.32194,0.20437,0.27547,0.2154,0.12373,1.54157,1.80652,1.52615,0.00294239,0.00294239,0.00294239
66,995.676,1.42837,1.59207,1.31749,0.49944,0.24004,0.23663,0.1325,1.51808,1.78787,1.52365,0.00280275,0.00280275,0.00280275
67,1010.71,1.43501,1.57474,1.31009,0.35924,0.23778,0.23096,0.13256,1.5403,1.73236,1.53787,0.00266532,0.00266532,0.00266532
68,1025.75,1.41525,1.5426,1.29197,0.49915,0.23431,0.22693,0.12898,1.54247,1.7347,1.5373,0.00253024,0.00253024,0.00253024
69,1040.8,1.41448,1.56352,1.31384,0.37742,0.27737,0.22653,0.12539,1.53668,1.72411,1.51814,0.00239766,0.00239766,0.00239766
70,1055.83,1.39109,1.50798,1.2963,0.34762,0.26688,0.23823,0.12913,1.55314,1.74001,1.53732,0.00226769,0.00226769,0.00226769
71,1070.83,1.41639,1.5521,1.3085,0.45344,0.27804,0.23057,0.13,1.51002,1.72312,1.50242,0.00214046,0.00214046,0.00214046
72,1085.92,1.38629,1.52281,1.29871,0.39733,0.24693,0.23611,0.13159,1.49944,1.71304,1.49883,0.00201611,0.00201611,0.00201611
73,1101.05,1.39552,1.49567,1.30179,0.34217,0.29459,0.24554,0.13843,1.51231,1.7173,1.49497,0.00189475,0.00189475,0.00189475
74,1116.28,1.39284,1.43621,1.29052,0.56208,0.24639,0.24986,0.13737,1.51009,1.74357,1.50179,0.00177651,0.00177651,0.00177651
75,1131.36,1.38705,1.45074,1.28987,0.34635,0.25902,0.22838,0.13056,1.50645,1.7611,1.49325,0.00166149,0.00166149,0.00166149
76,1146.81,1.38242,1.4447,1.28647,0.38944,0.25765,0.2363,0.13636,1.52857,1.72289,1.507,0.00154982,0.00154982,0.00154982
